PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Josh Hart,LAL ,24,67,65,49.6%,1.2,3.4,33.9,50.7,1.3%,0.0,0.1,16.7,48.3%,1.1,3.3,34.4
Josh Jackson,PHX ,22,79,69,21.0%,0.8,2.2,36.9,53.7,1.3%,0.1,0.1,54.5,19.6%,0.8,2.1,35.8
Josh Okogie,MIN ,20,74,62,37.8%,0.8,2.6,30.2,44.5,1.0%,0.0,0.1,60.0,36.8%,0.7,2.5,29.4
Josh Richardson,MIA ,25,73,73,36.7%,2.0,5.2,39.3,56.4,4.1%,0.3,0.6,45.2,32.7%,1.8,4.6,38.5
Jrue Holiday,NOP ,29,67,56,11.9%,0.8,2.1,37.0,53.6,0.7%,0.1,0.1,62.5,11.2%,0.7,1.9,35.4
Juancho Hernangomez,DEN ,23,70,57,57.5%,1.0,2.6,38.3,56.4,1.6%,0.1,0.1,80.0,55.9%,0.9,2.5,37.1
Julian Washburn,MEM ,27,18,13,52.1%,0.4,1.4,28.0,38.0,8.3%,0.1,0.2,50.0,43.8%,0.3,1.2,23.8
Julius Randle,NOP ,24,73,70,14.7%,0.8,2.2,36.9,53.4,1.1%,0.1,0.2,50.0,13.6%,0.7,2.0,35.8
Justin Anderson,ATL ,25,48,29,41.4%,0.4,1.4,30.8,46.2,1.9%,0.0,0.1,0.0,39.5%,0.4,1.3,32.3
Justin Holiday,MEM ,30,81,79,50.8%,1.7,4.8,35.2,51.3,3.9%,0.1,0.4,40.0,46.9%,1.5,4.4,34.8
Justin Jackson,DAL ,24,81,75,45.7%,1.0,2.7,36.2,54.1,0.4%,0.0,0.0,50.0,45.2%,1.0,2.7,36.1
Justin Patton,PHI ,22,3,2,42.9%,0.0,1.0,0.0,0.0,14.3%,0.0,0.3,0.0,28.6%,0.0,0.7,0.0
Justise Winslow,MIA ,23,66,65,30.4%,1.4,3.5,42.1,62.1,0.9%,0.1,0.1,71.4,29.5%,1.4,3.4,41.2
Jusuf Nurkic,POR ,24,72,48,13.2%,0.4,1.5,29.4,30.7,10.0%,0.4,1.1,34.9,3.1%,0.0,0.4,11.5
Kadeem Allen,NYK ,26,19,16,17.1%,0.7,1.3,54.2,81.3,0.7%,0.0,0.1,0.0,16.4%,0.7,1.2,56.5
Karl-Anthony Towns,MIN ,23,77,77,29.0%,2.1,5.0,42.1,58.8,5.6%,0.4,0.9,46.6,23.5%,1.6,4.0,41.1
Kawhi Leonard,TOR ,28,60,57,15.3%,1.2,2.9,41.6,59.0,2.3%,0.2,0.4,46.2,13.0%,1.0,2.5,40.8
Keita Bates-Diop,MIN ,23,30,21,35.9%,0.5,1.7,27.5,40.2,0.7%,0.0,0.0,100,35.2%,0.4,1.7,26.0
Kelly Olynyk,MIA ,28,79,76,50.0%,1.3,3.6,37.6,54.8,3.9%,0.1,0.3,40.9,46.1%,1.2,3.3,37.3
Kelly Oubre Jr.,PHX ,23,69,65,32.5%,1.3,4.0,31.9,47.1,0.7%,0.1,0.1,66.7,31.7%,1.2,3.9,31.1
Kemba Walker,CHA ,29,82,77,15.0%,1.1,3.1,35.6,51.6,1.2%,0.1,0.2,45.0,13.9%,1.0,2.8,34.8
Kenneth Faried,HOU ,29,37,17,9.4%,0.3,0.7,44.0,60.0,1.1%,0.1,0.1,100,8.3%,0.2,0.6,36.4
Kenrich Williams,NOP ,24,46,39,48.0%,1.0,2.9,33.1,49.2,2.2%,0.0,0.1,16.7,45.8%,0.9,2.8,33.9
Kent Bazemore,ATL ,29,67,60,29.2%,1.0,3.0,34.7,51.5,1.4%,0.0,0.1,20.0,27.8%,1.0,2.9,35.4
Kentavious Caldwell-Pope,LAL ,26,82,79,50.3%,1.8,4.7,38.6,54.9,5.7%,0.3,0.5,53.5,44.6%,1.5,4.1,36.7
Kevin Durant,GSW ,30,78,73,18.6%,1.4,3.3,44.1,57.6,6.3%,0.6,1.1,50.6,12.3%,0.9,2.2,40.8
Kevin Huerter,ATL ,20,75,72,35.6%,1.2,3.1,38.5,57.3,0.8%,0.0,0.1,40.0,34.8%,1.2,3.0,38.4
Kevin Knox,NYK ,19,74,70,35.9%,1.5,4.4,34.1,50.2,1.9%,0.1,0.2,35.3,34.0%,1.4,4.1,34.0
Kevin Love,CLE ,30,22,22,45.6%,1.8,5.9,31.0,45.0,4.9%,0.2,0.6,28.6,40.6%,1.6,5.2,31.3
Kevon Looney,GSW ,23,80,30,10.5%,0.2,0.5,44.4,45.8,8.4%,0.2,0.4,51.7,2.0%,0.0,0.1,14.3
