PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Edmond Sumner,IND,23,1,0,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,0,0,125.0
Ekpe Udoh,UTA,32,2,0,2,36.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-47.1
Enes Kanter,POR,27,16,8,8,48.9,19.3,8.0,15.5,51.4,0.1,0.4,25.0,3.3,4.4,75.6,5.5,10.8,16.4,2.0,2.8,1.2,1.0,3.8,45.6,5,0,1.0
Eric Bledsoe,MIL,29,15,10,5,46.6,22.6,8.4,20.4,41.1,1.9,7.9,23.6,4.0,5.6,70.6,2.2,4.0,6.2,7.0,3.5,1.8,0.7,3.1,44.3,0,0,9.4
Eric Gordon,HOU,30,11,6,5,49.3,23.6,8.1,18.1,44.7,4.6,11.4,40.0,2.9,3.4,85.7,0.6,2.8,3.4,1.7,3.2,0.8,1.3,2.6,33.4,0,0,1.0
Eric Moreland,TOR,27,8,6,2,43.3,3.1,1.5,3.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,18.5,21.5,4.6,0.0,0.0,0.0,7.7,35.8,0,0,-43.1
Ersan Ilyasova,MIL,32,15,10,5,46.8,17.5,6.0,13.9,43.2,2.1,6.9,30.0,3.4,4.3,80.0,3.4,8.8,12.2,3.6,1.2,1.7,1.0,6.9,44.6,0,0,15.1
Evan Fournier,ORL,26,5,1,4,50.4,17.9,6.9,19.9,34.8,2.3,9.8,23.5,1.7,2.3,75.0,0.9,3.7,4.6,2.9,3.5,2.0,0.0,4.0,30.3,0,0,-27.4
Evan Turner,POR,30,16,8,8,49.6,8.7,3.0,9.3,32.6,0.2,0.2,100,2.4,3.0,80.0,2.6,11.9,14.6,7.1,2.6,0.6,0.6,4.5,37.8,0,0,-0.6
Fred VanVleet,TOR,25,24,16,8,49.7,16.1,5.5,13.9,39.2,3.2,8.2,38.8,2.0,2.6,77.4,0.6,2.8,3.4,5.2,1.8,1.5,0.5,4.1,32.2,0,0,2.8
Furkan Korkmaz,PHI,21,4,3,1,41.9,22.4,7.1,21.2,33.3,3.5,9.4,37.5,4.7,5.9,80.0,0.0,7.1,7.1,5.9,1.2,0.0,1.2,5.9,42.0,0,0,-24.7
Garrett Temple,LAC,33,6,2,4,43.9,9.8,2.1,7.7,27.3,0.7,4.9,14.3,4.9,7.0,70.0,0.7,4.2,4.9,1.4,1.4,2.1,0.7,5.6,24.8,0,0,-3.5
Gary Clark,HOU,24,2,1,1,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,-20.0
Gary Harris,DEN,24,14,7,7,51.1,19.7,7.2,15.6,46.2,2.0,5.6,35.1,3.3,3.8,86.8,0.9,4.8,5.7,3.2,1.1,1.2,0.8,3.8,36.1,0,0,5.1
George Hill,MIL,33,15,10,5,48.2,21.1,7.7,14.4,53.4,2.4,5.9,41.7,3.3,4.0,81.8,1.8,4.6,6.5,5.1,0.7,1.5,0.5,4.2,41.7,0,0,8.8
Georges Niang,UTA,26,5,1,4,46.1,18.5,7.6,18.5,40.9,3.4,10.9,30.8,0.0,0.0,0.0,0.0,11.8,11.8,4.2,1.7,0.8,0.8,4.2,42.3,0,0,7.6
Gerald Green,HOU,33,11,6,5,47.6,19.1,5.9,19.6,30.0,4.9,14.2,34.5,2.5,2.5,100,0.0,5.9,5.9,0.5,1.5,1.5,1.5,5.9,34.3,0,0,-4.9
Giannis Antetokounmpo,MIL,24,15,10,5,47.0,35.0,11.8,23.9,49.4,1.6,5.0,32.7,9.8,15.4,63.7,3.3,13.4,16.7,6.7,4.6,1.6,2.7,4.4,73.8,10,0,10.3
Glenn Robinson III,DET,25,3,0,3,46.2,16.9,5.2,19.5,26.7,1.3,10.4,12.5,5.2,5.2,100,2.6,6.5,9.1,2.6,1.3,2.6,0.0,6.5,38.2,0,0,-35.1
Gordon Hayward,BOS,29,9,5,4,47.1,15.2,5.1,12.4,41.4,1.6,4.2,37.5,3.4,3.4,100,0.5,5.8,6.4,3.9,2.5,1.1,0.5,2.8,31.0,0,0,-1.6
