PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Caris LeVert,BKN,24,5,1,4,144,3.2,3.7,1.2,12.0,12.2,12.5,9.2,43.9,0.5,1.0,2.0,5.2
Chris Boucher,TOR,26,2,1,1,4,0.0,0.0,0.0,17.7,0.0,0.0,35.4,17.7,8.9,8.9,0.0,8.9
Chris Paul,HOU,34,11,6,5,397,2.4,1.4,2.7,6.9,14.9,10.7,9.6,32.2,0.6,0.3,3.3,4.3
Clint Capela,HOU,25,11,6,5,331,1.3,2.3,0.7,10.0,15.5,10.1,9.7,33.3,1.3,1.1,2.8,3.0
Cory Joseph,IND,27,4,0,4,85,0.8,3.0,0.0,5.9,11.4,8.5,12.7,22.0,0.0,0.4,3.0,1.7
D'Angelo Russell,BKN,23,5,1,4,148,4.4,1.2,2.4,8.3,17.5,14.1,9.5,49.2,0.2,0.7,2.9,2.2
D.J. Augustin,ORL,31,5,1,4,141,1.0,1.0,1.8,3.6,14.3,10.7,10.7,39.4,0.3,1.5,1.8,2.6
D.J. Wilson,MIL,23,8,6,2,43,0.0,0.0,1.7,11.8,25.3,4.2,8.4,21.9,0.8,0.8,5.9,1.7
Damian Jones,GSW,24,4,3,1,8,0.0,0.0,0.0,8.9,13.3,4.4,0.0,17.8,0.0,0.0,13.3,4.4
Damian Lillard,POR,28,16,8,8,650,3.4,1.1,2.0,6.4,11.9,11.5,9.5,36.3,0.3,1.2,2.2,6.0
Daniel Theis,BOS,27,7,5,2,42,3.4,3.4,3.4,6.9,13.7,0.0,22.3,32.6,0.9,2.6,3.4,3.4
Danilo Gallinari,LAC,30,6,2,4,201,1.1,3.0,2.9,7.2,16.1,8.9,15.4,35.4,0.2,1.3,2.5,4.8
Danny Green,TOR,32,24,16,8,684,0.8,1.4,1.8,1.2,11.4,9.9,12.9,27.8,0.6,0.2,3.2,1.3
Dante Cunningham,SAS,32,5,2,3,13,0.0,8.3,8.3,0.0,5.6,0.0,8.3,22.2,0.0,2.8,0.0,0.0
Danuel House Jr.,HOU,26,7,4,3,141,2.6,0.0,1.0,1.0,13.3,9.5,8.4,33.3,0.5,0.3,2.8,2.0
Darren Collison,IND,31,4,0,4,117,2.5,0.6,5.2,4.9,11.1,8.3,12.9,25.3,0.0,0.0,3.4,1.8
Davis Bertans,SAS,26,5,2,3,79,0.0,0.0,0.0,1.8,3.2,6.9,15.5,34.7,0.5,0.0,4.6,1.4
DeMar DeRozan,SAS,29,7,3,4,251,1.9,2.0,2.6,10.1,7.9,12.2,9.3,35.3,0.1,0.9,2.3,4.9
DeMarcus Cousins,GSW,28,8,3,5,133,2.2,3.0,1.4,9.7,11.6,10.0,13.5,31.4,1.6,2.2,6.5,7.6
DeMarre Carroll,BKN,32,5,1,4,119,1.5,0.0,0.6,1.2,12.4,12.7,9.4,44.0,0.0,1.5,2.4,2.4
Dennis Schroder,OKC,25,5,1,4,151,3.6,2.4,1.7,4.3,12.2,13.1,6.7,36.8,0.0,0.5,2.6,3.3
Deonte Burton,OKC,25,3,1,2,4,0.0,0.0,0.0,16.1,0.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0
Derrick Favors,UTA,27,5,1,4,103,2.1,7.0,0.7,16.1,11.9,9.4,5.6,30.7,3.1,2.1,4.2,4.9
Derrick White,SAS,24,7,3,4,191,2.6,1.1,3.2,10.6,7.7,10.9,7.7,35.5,0.9,0.6,3.2,4.0
Domantas Sabonis,IND,23,4,0,4,96,1.5,2.6,0.0,6.0,9.4,10.9,11.2,20.2,0.4,0.4,4.5,4.1
Donatas Motiejunas,SAS,28,5,2,3,19,3.9,5.8,0.0,23.4,3.9,0.0,5.8,27.2,0.0,0.0,1.9,3.9
Donovan Mitchell,UTA,22,5,1,4,193,2.1,1.1,3.0,8.2,14.0,7.8,8.4,30.9,0.2,2.4,2.8,4.7
Doug McDermott,IND,27,3,0,3,29,0.0,0.0,0.0,4.9,7.4,12.3,12.3,22.2,1.2,0.0,2.5,3.7
