PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Selden, Wayne",NOP,3,2,1,15.7,12.0,29.7,40.4,4.7,13.3,35.0,5.7,8.3,68.0,3.0,14.0,17.0,5.3,4.7,2.0,0.3,2.0,6.0,6.3,34.3,1.0
"Seraphin, Kevin",IND,49,23,26,11.4,9.0,19.6,46.1,3.0,7.2,41.4,4.4,6.0,73.7,2.6,8.2,10.8,5.5,3.3,1.8,1.2,1.0,3.9,4.3,25.4,2.1
"Sessions, Ramon",CHA,50,23,27,16.2,13.9,30.4,45.8,3.8,10.4,36.9,4.7,6.2,76.5,3.4,11.9,15.2,8.6,3.9,2.6,1.6,1.6,7.0,5.7,36.4,1.6
"Shumpert, Iman",CLE,76,48,28,25.5,21.1,46.7,45.2,5.6,15.7,35.9,8.7,11.1,77.9,5.8,17.6,23.3,12.6,6.4,3.6,2.0,2.1,10.4,9.8,56.5,-0.6
"Siakam, Pascal",TOR,55,35,20,15.6,12.6,26.7,47.2,3.5,8.7,40.0,5.3,7.1,75.8,3.1,10.2,13.3,7.7,5.3,2.6,1.7,1.6,5.4,6.5,34.1,0.9
"Simmons, Jonathon",SAS,78,60,18,17.9,13.1,30.4,42.9,2.7,9.0,29.9,6.5,8.7,75.0,3.6,11.6,15.2,7.2,5.9,3.1,1.7,2.1,7.4,7.7,35.3,-2.7
"Singler, Kyle",OKC,32,15,17,12.0,9.5,20.3,46.7,1.8,5.7,30.8,4.4,5.8,76.2,1.9,8.3,10.1,4.6,3.8,1.7,1.3,1.0,5.3,5.2,25.2,-0.3
"Smart, Marcus",BOS,79,51,28,30.4,24.0,53.3,45.0,5.5,17.2,31.8,13.0,16.8,77.4,6.5,21.4,27.9,13.4,9.3,4.9,3.3,2.3,13.8,13.2,66.4,-1.6
"Smith, Ish",DET,81,37,44,24.1,19.1,42.3,45.1,4.5,12.6,35.4,8.4,10.7,78.1,4.3,17.2,21.5,11.3,6.3,3.3,2.0,2.0,8.9,8.6,51.0,-0.6
"Smith, JR",CLE,41,25,16,29.0,25.1,53.6,46.8,5.8,16.8,34.6,8.7,11.7,74.5,6.7,20.1,26.9,15.6,7.8,4.6,2.3,2.2,12.2,10.7,64.7,-1.8
"Smith, Jason",WAS,74,45,29,14.4,11.3,25.1,45.1,2.9,8.1,35.2,6.2,8.3,74.0,3.2,9.1,12.3,6.6,4.1,2.2,1.1,1.6,5.9,7.5,31.6,0.1
"Snell, Tony",MIL,80,42,38,29.2,23.5,50.6,46.4,6.1,17.0,36.0,11.1,14.2,78.0,6.4,19.7,26.1,14.9,8.8,4.3,2.8,3.4,11.2,12.1,64.1,1.5
"Speights, Marreese",LAC,82,51,31,15.7,12.4,27.2,45.5,2.6,7.8,33.2,7.0,8.9,78.2,3.7,11.4,15.1,7.0,4.2,2.2,1.1,1.4,6.3,7.8,34.3,0.4
"Splitter, Tiago",PHI,8,1,7,9.5,8.1,15.8,51.6,2.1,5.0,42.5,3.1,4.9,64.1,1.1,6.1,7.3,4.5,2.8,1.9,1.8,0.5,4.8,3.5,21.5,0.5
