PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Marcus Morris,BOS,29,9,5,4,28.3,49.4,50.6,37.4,14.6,43.9,7.3,18.7,6.5,22.8,56.5,43.5,100,0.0,75.6,24.4
Marcus Smart,BOS,25,2,0,2,16.2,0.0,100,0.0,0.0,42.9,0.0,57.1,42.9,0.0,0.0,0.0,100,0.0,100,0.0
Markieff Morris,OKC,29,5,1,4,11.8,56.3,43.8,31.6,0.0,31.6,10.5,36.8,21.1,31.6,66.7,33.3,100,0.0,80.0,20.0
Mason Plumlee,DEN,29,14,7,7,15.6,97.9,2.1,75.0,0.0,0.0,14.1,25.0,14.1,75.0,45.8,54.2,0.0,0.0,45.8,54.2
Maurice Harkless,POR,26,16,8,8,24.2,74.3,25.7,67.2,0.0,15.7,13.4,17.2,12.7,67.2,68.9,31.1,100,0.0,73.1,26.9
Melvin Frazier Jr.,ORL,22,3,0,3,4.9,100,0.0,80.0,40.0,0.0,0.0,20.0,60.0,40.0,100,0.0,0.0,0.0,100,0.0
Meyers Leonard,POR,27,11,5,6,15.5,49.2,50.8,47.1,7.1,49.4,9.4,3.5,5.9,40.0,90.0,10.0,100,0.0,94.1,5.9
Michael Carter-Williams,ORL,27,5,1,4,18.5,74.2,25.8,60.6,6.1,18.2,12.1,21.2,0.0,54.5,40.0,60.0,50.0,50.0,41.7,58.3
Mike Scott,PHI,30,10,6,4,19.3,27.7,72.3,32.1,7.1,64.3,10.7,3.6,7.1,25.0,88.9,11.1,100,0.0,95.2,4.8
Monte Morris,DEN,24,14,7,7,16.0,84.9,15.1,88.0,29.3,0.0,25.3,12.0,13.3,58.7,45.5,54.5,0.0,0.0,45.5,54.5
Montrezl Harrell,LAC,25,6,2,4,26.3,98.4,1.6,83.6,3.6,0.0,8.2,16.4,18.2,80.0,73.9,26.1,0.0,0.0,73.9,26.1
Myles Turner,IND,23,4,0,4,31.5,60.0,40.0,56.4,25.6,23.1,0.0,20.5,5.1,30.8,90.9,9.1,100,0.0,92.9,7.1
Nene,HOU,36,7,3,4,7.5,100,0.0,74.1,7.4,0.0,0.0,25.9,7.4,66.7,50.0,50.0,0.0,0.0,50.0,50.0
Nerlens Noel,OKC,25,5,1,4,12.1,100,0.0,100,0.0,0.0,8.3,0.0,16.7,100,75.0,25.0,0.0,0.0,75.0,25.0
Nikola Jokic,DEN,24,14,7,7,39.7,78.5,21.5,62.5,9.1,18.8,1.7,18.8,6.0,53.4,57.3,42.7,81.8,18.2,61.4,38.6
Nikola Mirotic,MIL,28,14,10,4,21.3,35.0,65.0,33.1,7.5,49.6,6.8,17.3,7.5,25.6,54.5,45.5,100,0.0,77.3,22.7
Nikola Vucevic,ORL,28,5,1,4,29.5,77.6,22.4,64.3,14.3,16.1,7.1,19.6,30.4,50.0,77.8,22.2,100,0.0,81.0,19.0
Norman Powell,TOR,26,23,15,8,15.9,50.8,49.2,42.7,4.0,48.0,20.7,9.3,13.3,38.7,68.8,31.3,83.3,16.7,75.0,25.0
