PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Jonas Valanciunas,MEM,27,49,31,18,1091.0,27.4,31.9,27.0,6.0,6.9,35.1,34.6,48.0,38.9,40.8,12.7,26.8,10.9,48.2,33.1,30.2,30.7,30.0
Jonathan Isaac,ORL,21,75,37,38,1996.0,16.0,15.4,16.4,18.7,20.8,18.2,17.9,22.8,21.0,21.4,7.4,13.9,21.5,42.2,15.7,20.1,17.7,16.1
Jonathon Simmons,PHI,29,56,25,31,1064.0,18.2,15.4,18.1,11.9,15.4,21.5,22.6,13.0,13.0,13.0,24.1,20.2,20.0,11.2,33.9,18.3,24.7,15.9
Jordan Bell,GSW,24,68,46,22,788.0,13.3,14.8,13.4,0.0,0.4,9.8,12.6,32.9,23.2,25.5,18.7,18.3,20.6,42.5,15.5,24.0,18.1,12.6
Jordan Clarkson,CLE,27,81,18,63,2214.0,26.6,29.3,29.4,29.3,31.5,20.3,19.1,16.6,12.9,13.9,20.4,21.2,18.2,10.7,21.7,11.5,18.4,27.8
Jordan Loyd,TOR,25,12,11,1,55.0,15.9,19.5,18.8,28.6,20.0,37.5,34.4,6.3,20.0,16.1,27.3,5.9,0.0,0.0,14.3,17.2,36.4,24.2
Jordan McRae,WAS,28,27,9,18,333.0,19.1,21.0,20.8,14.5,16.8,19.7,18.0,9.4,14.0,13.0,16.6,16.7,28.9,20.0,21.9,18.7,21.2,20.2
Jordan Sibert,ATL,26,1,1,0,4.0,8.3,20.0,10.0,100,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Jose Calderon,DET,37,49,22,27,632.0,10.4,9.9,10.5,10.8,12.4,4.1,3.7,8.2,11.0,10.3,39.9,17.2,15.7,6.4,9.8,19.5,6.7,9.0
Josh Hart,LAL,24,67,31,36,1715.0,13.0,12.7,14.3,23.4,23.6,9.3,9.4,9.7,15.8,14.5,10.8,10.4,23.5,20.9,15.3,19.7,11.4,13.3
