PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Tracy Murray,WAS,26,82,42,40,27.2,15.1,5.5,12.3,44.6,1.9,4.9,39.2,2.2,2.5,87.1,0.9,2.5,3.4,1.0,1.2,0.8,0.3,2.0,22.8,1,0,1.7
Travis Best,IND,25,82,58,24,18.8,6.5,2.5,5.9,41.9,0.3,0.9,30.0,1.4,1.6,85.5,0.3,1.1,1.5,3.4,1.4,1.0,0.1,2.4,15.4,0,0,0.5
Travis Knight,BOS,23,74,31,43,20.3,6.5,2.6,5.9,44.1,0.2,0.7,27.3,1.1,1.4,78.6,2.0,3.0,4.9,1.4,1.2,0.7,1.1,3.4,18.9,4,0,-1.9
Travis Williams,CHH,29,39,23,16,9.4,3.5,1.4,3.1,47.1,0.0,0.0,0.0,0.6,1.2,52.2,1.4,1.0,2.4,0.5,0.8,0.5,0.1,1.4,8.1,0,0,-0.9
Troy Hudson,UTA,22,8,4,4,3.0,1.5,0.8,1.8,42.9,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,0.1,0.3,0.0,0.1,3.2,0,0,-0.5
Tyrone Corbin,ATL,35,79,49,30,34.1,10.2,4.2,9.5,43.9,0.6,1.8,34.8,1.3,1.6,78.9,1.0,3.6,4.6,2.2,1.1,1.3,0.1,2.5,22.2,1,0,4.3
Tyrone Hill,MIL,30,57,26,31,36.2,10.0,3.6,7.3,49.8,0.0,0.0,0.0,2.7,4.5,60.8,3.7,6.9,10.7,1.5,1.9,1.2,0.5,4.0,28.4,24,0,1.1
Tyus Edney,BOS,25,52,25,27,12.0,5.3,1.8,4.2,43.1,0.1,0.2,30.0,1.7,2.1,79.3,0.4,0.7,1.1,2.7,1.3,1.0,0.0,1.3,12.3,1,0,0.8
Vernon Maxwell,CHH,32,42,22,20,15.1,6.9,2.5,6.1,39.9,0.9,2.7,33.0,1.1,1.4,80.0,0.3,1.0,1.4,1.2,1.0,0.4,0.1,1.7,10.9,0,0,1.1
Vin Baker,SEA,26,82,61,21,35.9,19.2,7.7,14.2,54.2,0.0,0.1,14.3,3.8,6.4,59.1,3.5,4.5,8.0,1.9,2.1,1.1,1.0,3.4,35.9,27,0,5.0
Vincent Askew,POR,32,30,16,14,14.9,2.2,0.6,1.8,35.2,0.0,0.1,0.0,0.9,1.3,71.8,0.7,1.6,2.3,1.3,1.2,0.6,0.2,1.3,8.1,0,0,-0.1
