PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
T.J. Warren,PHX,23,66,20,46,31.0,88.0,12.0,79.3,22.3,8.2,23.1,12.5,16.6,57.0,53.6,46.4,92.3,7.7,56.1,43.9
Taj Gibson,OKC,32,78,41,37,25.5,98.2,1.8,85.6,13.9,1.1,10.2,13.4,12.8,71.6,65.7,34.3,66.7,33.3,65.8,34.2
Tarik Black,LAL,25,67,24,43,16.3,99.3,0.7,77.8,1.6,0.8,8.4,21.4,11.5,76.2,68.5,31.5,0.0,100,68.0,32.0
Taurean Prince,ATL,23,59,28,31,16.6,64.2,35.8,48.4,9.0,29.6,21.8,22.1,23.0,39.4,63.0,37.0,87.9,12.1,70.2,29.8
Terrence Jones,MIL,25,54,20,34,23.5,84.8,15.2,72.6,8.2,9.8,15.6,17.6,20.5,64.4,64.2,35.8,100,0.0,67.1,32.9
Terrence Ross,ORL,26,78,39,39,25.1,47.6,52.4,42.9,19.8,49.7,14.5,7.5,22.8,23.1,51.1,48.9,85.9,14.1,66.3,33.7
Terry Rozier,BOS,23,74,47,27,17.1,56.4,43.6,45.9,13.7,41.7,18.8,12.4,16.6,32.2,33.0,67.0,80.7,19.3,51.0,49.0
Thabo Sefolosha,ATL,33,62,32,30,25.7,69.6,30.4,59.9,14.4,27.7,17.6,12.4,24.5,45.5,64.7,35.3,95.1,4.9,71.8,28.2
Thaddeus Young,IND,29,74,40,34,30.2,82.8,17.2,77.9,6.6,16.6,14.6,5.5,17.8,71.3,72.9,27.1,97.8,2.2,76.0,24.0
Thomas Robinson,LAL,26,48,15,33,11.7,99.5,0.5,87.1,4.1,0.0,15.8,12.9,20.3,83.0,46.7,53.3,0.0,0.0,46.7,53.3
Thon Maker,MIL,20,57,31,26,9.9,59.1,40.9,48.7,8.0,37.2,12.8,14.2,18.6,40.7,67.3,32.7,100,0.0,78.3,21.7
Tiago Splitter,PHI,32,8,1,7,9.5,80.6,19.4,61.5,5.1,15.4,7.7,23.1,15.4,56.4,75.0,25.0,100,0.0,78.6,21.4
Tim Frazier,NOP,26,65,26,39,23.5,68.3,31.7,53.0,12.9,25.9,17.5,21.1,14.9,40.1,26.8,73.2,62.5,37.5,35.6,64.4
Tim Hardaway Jr.,ATL,25,79,42,37,27.3,54.3,45.7,46.5,8.9,39.1,20.7,14.3,16.1,37.6,63.5,36.5,84.6,15.4,71.1,28.9
Tim Quarterman,POR,22,16,6,10,5.0,55.2,44.8,51.6,19.4,48.4,25.8,0.0,29.0,32.3,12.5,87.5,80.0,20.0,38.5,61.5
Timofey Mozgov,LAL,30,54,16,38,20.4,99.7,0.3,84.3,20.0,0.0,10.5,15.7,13.0,64.3,74.6,25.4,0.0,0.0,74.6,25.4
Timothe Luwawu-Cabarrot,PHI,22,69,23,46,17.2,55.4,44.6,42.7,0.4,33.7,19.6,23.6,17.1,42.2,65.3,34.7,98.0,2.0,76.6,23.4
Tobias Harris,DET,24,82,37,45,31.3,70.5,29.5,60.9,19.5,24.8,12.0,14.4,18.2,41.3,50.2,49.8,99.1,0.9,60.7,39.3
Tomas Satoransky,WAS,25,57,33,24,12.6,74.8,25.2,67.5,19.5,17.5,8.4,14.9,16.9,48.1,40.4,59.6,100,0.0,49.2,50.8
Toney Douglas,MEM,31,24,15,9,16.4,64.1,35.9,61.5,23.9,17.9,16.2,20.5,23.1,37.6,36.1,63.9,42.9,57.1,37.2,62.8
Tony Allen,MEM,35,71,36,35,27.0,90.9,9.1,80.6,3.7,7.0,20.5,12.4,20.8,76.8,55.2,44.8,100,0.0,57.7,42.3
Tony Parker,SAS,35,63,46,17,25.2,87.9,12.1,75.9,28.5,10.8,13.5,13.3,16.1,47.3,24.8,75.2,100,0.0,31.3,68.7
Tony Snell,MIL,25,80,42,38,29.2,34.4,65.6,29.9,8.2,63.3,11.0,6.9,17.9,21.7,65.7,34.3,99.3,0.7,85.4,14.6
Treveon Graham,CHA,23,27,10,17,7.0,62.5,37.5,35.1,3.5,47.4,12.3,17.5,12.3,31.6,60.0,40.0,100,0.0,78.9,21.1
Trevor Ariza,HOU,32,80,53,27,34.7,30.5,69.5,28.8,2.1,61.2,21.8,9.9,21.0,26.7,61.5,38.5,95.8,4.2,81.6,18.4
Trevor Booker,BKN,29,71,18,53,24.7,86.8,13.2,79.0,8.2,10.6,13.8,10.4,15.1,70.8,45.0,55.0,84.0,16.0,48.2,51.8
Trey Burke,WAS,24,57,35,22,12.3,72.5,27.5,59.6,37.2,32.6,9.8,7.7,13.0,22.5,21.2,78.8,80.6,19.4,37.1,62.9
Trey Lyles,UTA,21,71,43,28,16.3,53.5,46.5,42.7,9.5,44.3,7.0,13.0,15.5,33.2,40.4,59.6,95.4,4.6,62.9,37.1
Tristan Thompson,CLE,26,78,50,28,30.0,99.3,0.7,83.2,2.2,0.0,9.7,16.8,12.1,81.0,71.0,29.0,0.0,0.0,71.0,29.0
Troy Daniels,MEM,25,67,33,34,17.7,28.3,71.7,17.1,12.0,75.1,12.5,7.8,12.2,5.1,68.1,31.9,84.1,15.9,80.0,20.0
Troy Williams,HOU,22,30,19,11,18.6,62.9,37.1,59.5,5.4,29.2,31.9,11.4,29.7,54.1,45.5,54.5,94.4,5.6,57.5,42.5
Ty Lawson,SAC,29,69,25,44,25.1,77.4,22.6,59.6,22.6,15.0,11.9,25.4,15.1,37.0,19.2,80.8,73.5,26.5,27.0,73.0
Tyler Ennis,LAL,22,53,28,25,11.1,66.3,33.7,55.3,5.3,35.5,12.3,9.2,13.2,50.0,11.1,88.9,55.6,44.4,24.4,75.6
Tyler Johnson,MIA,25,73,35,38,29.8,69.7,30.3,52.7,15.6,27.8,14.1,19.5,19.1,37.1,45.1,54.9,95.7,4.3,58.3,41.7
Tyler Ulis,PHX,21,61,15,46,18.4,81.9,18.1,73.4,39.6,14.2,14.6,12.4,11.7,33.8,11.7,88.3,47.6,52.4,15.8,84.2
Tyler Zeller,BOS,27,51,32,19,10.3,99.4,0.6,87.6,19.1,0.0,10.1,12.4,15.7,68.5,84.6,15.4,0.0,0.0,84.6,15.4
Tyreke Evans,SAC,27,40,17,23,19.7,68.1,31.9,52.6,6.8,30.7,21.2,16.8,16.3,45.7,20.4,79.6,54.8,45.2,30.0,70.0
Tyson Chandler,PHX,34,47,15,32,27.6,100,0.0,77.1,0.0,0.0,7.3,22.9,14.4,77.1,62.1,37.9,0.0,0.0,62.1,37.9
Tyus Jones,MIN,21,60,23,37,12.9,59.7,40.3,46.9,10.5,37.3,20.1,15.8,17.7,36.4,34.7,65.3,88.5,11.5,53.3,46.7
Udonis Haslem,MIA,37,16,6,10,8.1,87.0,13.0,71.0,0.0,0.0,0.0,29.0,12.9,71.0,63.6,36.4,0.0,0.0,63.6,36.4
Victor Oladipo,OKC,25,67,39,28,33.2,62.2,37.8,53.4,16.1,35.7,20.4,10.9,16.4,37.3,42.8,57.2,88.2,11.8,56.8,43.2
Vince Carter,MEM,40,73,36,37,24.7,39.6,60.4,27.6,6.1,57.3,5.6,15.0,10.6,21.5,43.2,56.8,90.2,9.8,70.5,29.5
Wade Baldwin IV,MEM,21,33,18,15,12.3,80.9,19.1,62.3,18.9,8.5,16.0,29.2,23.6,43.4,30.3,69.7,33.3,66.7,30.6,69.4
Wayne Ellington,MIA,29,62,35,27,24.2,29.0,71.0,25.3,17.3,69.0,11.7,5.7,15.3,8.0,75.6,24.4,93.3,6.7,87.0,13.0
Wayne Selden,MEM,22,14,6,8,16.9,51.7,48.3,50.7,5.6,29.6,29.6,19.7,11.3,45.1,55.6,44.4,100,0.0,68.0,32.0
Wesley Johnson,LAC,29,68,40,28,11.9,41.0,59.0,47.3,20.4,46.8,13.4,5.9,19.9,26.9,77.3,22.7,100,0.0,86.3,13.7
Wesley Matthews,DAL,30,73,29,44,34.2,43.4,56.6,32.3,12.4,52.9,10.4,14.8,18.4,19.9,29.6,70.4,83.9,16.1,58.0,42.0
Will Barton,DEN,26,60,31,29,28.4,64.7,35.3,50.7,8.5,31.8,19.1,17.4,13.8,42.2,34.6,65.4,73.6,26.4,46.1,53.9
Willie Cauley-Stein,SAC,23,75,29,46,18.9,99.6,0.4,83.5,9.8,0.0,8.0,16.5,16.9,73.6,72.5,27.5,0.0,0.0,72.5,27.5
